address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),is_successful
"Le Meridien, 28, Sankey Road, Bangalore",The Sugar Factory - Le Meridien,No,No,3.9,630,Sankey Road,Club,"Cocktails, Chicken Satay, Nachos, Beer",Finger Food,2000.0,Drinks & nightlife,Malleshwaram,1
"Sky Deck, VR Bengaluru, Whitefield Main Road, Whitefield, Bangalore",alt,No,Yes,4.1,821,Whitefield,"Bar, Lounge","Margarita, Lamb, Cocktails, Nachos, Spring Roll, Long Island Iced Tea, Mocktails",Finger Food,1900.0,Drinks & nightlife,Whitefield,1
"81, 2nd Main, 3rd Cross, Near Christ College, BTM, Bangalore",Dribzz Bakes & Cafe,No,No,3.7,0,BTM,Quick Bites,,"Fast Food, Chinese, Desserts",200.0,Dine-out,Koramangala 6th Block,0
"42, 1st Main, Koramangala 1st Block, Bangalore",Biryani Rooh-e-Khaas,Yes,No,3.7,0,Koramangala 1st Block,Quick Bites,,"Biryani, Mughlai",500.0,Dine-out,Koramangala 7th Block,0
"13, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",Art of Delight,No,No,4.3,450,Koramangala 5th Block,Dessert Parlor,"Waffles, Blueberry Cheesecake, Brownie Fudge, Vanilla Ice Cream, Freak Shake, Nutella Cheesecake, Nutella Waffle","Ice Cream, Desserts, Beverages",400.0,Delivery,Koramangala 7th Block,1
"5th Floor, Soul Space Spirit, Bellandur Central Mall, Bellandur, Bangalore",Pasta Twist,No,No,3.7,0,Bellandur,Quick Bites,,"Italian, Fast Food",400.0,Delivery,Sarjapur Road,0
"21/1, First Cross, Bhaskar Reddy Building, Lakshmama Layout, Banaswadi, Bangalore",Grow Fit,No,No,3.8,68,Banaswadi,Delivery,,"Healthy Food, North Indian, Thai",500.0,Delivery,Kammanahalli,1
"150, Wheeler Road, Sindhi Colony, Pulikeshi Nagar, Frazer Town, Bangalore",Konfection Konnection,No,No,3.6,13,Frazer Town,"Takeaway, Delivery",,Desserts,600.0,Delivery,MG Road,0
"6/1, 16th Cross, Gajandra Nagar, Anepalya, BTM, Bengaluru",The Nourished Kitchen,No,No,3.7,0,BTM,Delivery,,"Asian, Continental, Healthy Food",400.0,Delivery,Lavelle Road,0
"1, ATR Complex, Murgeshpalya, Old Airport Road, Bangalore",Book My Cakes,Yes,No,3.3,4,Old Airport Road,Bakery,,Bakery,300.0,Delivery,Old Airport Road,0
